"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-36259	4256502	EG10740		TU0-36440	""
PM0-9298	3513697	EG11030		TU0-8862	""
PM0-44655	912200	""	-	""	""
PM00049	3552510	EG10561 // EG10560		TU00039	""
PM0-45019	1720865	""	-	""	""
PM00517	954503	EG10701 // EG11258		TU00378	""
PM0-45383	2622874	""	+	""	""
PM0-45748	3526246	""	-	""	""
PM0-10170	4111569	EG11015		TU0-14668	""
PM0-46116	4640898	""	+	""	""
PM0-36243	2230395	EG12022		TU0-13534	""
PM0-8918	1791254	G6924		TU0-8482	""
PM0-44639	853080	""	+	""	""
PM00031	2241710	EG10365		TU00024	""
PM0-45003	1671957	""	+	""	""
PM00500	4274092	EG10976		TU0-6564	""
PM0-45367	2531407	""	-	""	""
PM0-45732	3475109	""	-	""	""
PM0-10150	3761975	EG11762		TU0-13988	""
PM0-46100	4599494	""	-	""	""
PM0-36229	515903	G6267 // G6266		TU0-12957	""
PM0-8862	3725354	EG10410 // EG10409		TU00281	""
PM0-44622	807930	""	-	""	""
PM00012	1788318	EG10080		TU00010	""
PM0-44987	1641846	""	+	""	""
PM00483	4049899	EG30098	+	TU797	""
PM0-45351	2495333	""	-	""	""
PM0-45716	3411617	""	+	""	""
PM0-10130	3301368	G7651 // G7650		TU0-13877	""
PM0-46084	4563730	""	-	""	""
PM0-3621	2495578	G7241		TU0-3421	""
PM0-8744	159195	EG11374 // EG10690		TU0-8362	""
PM0-44608	785339	""	-	""	""
PM0-9995	782061	EG11700 // EG10630		TU0-13037	""
PM0-44971	1615731	""	+	""	""
PM00466	3883961	EG10828 // EG10242 // EG10235		TU00259	""
PM0-45335	2455668	""	-	""	""
PM0-45700	3385481	""	+	""	""
PM0-10113	2909713	EG10258 // EG10810		TU0-14654	""
PM0-46068	4508686	""	-	""	""
PM0-36173	2815065	EG12712		TU0-36414	""
PM0-8714	855786	G6422		TU0-8334	""
PM0-44591	729037	""	+	""	""
PM0-9979	446687	G6241		TU0-12925	""
PM0-44955	1555727	""	-	""	""
PM00447	3491648	EG10682 // EG10307 // EG12374	-	TU0-6885	""
PM0-45319	2388995	""	+	""	""
PM921	957595	EG10946 // EG10946 // EG10073		TU0-5964 // TU00357	""
PM0-45684	3349831	""	-	""	""
PM0-10094	2544671	EG12133		TU0-14643	""
PM0-46052	4479686	""	+	""	""
PM0-3603	2800590	EG12201		TU0-3403	""
PM0-8603	4012855	EG10591		TU0-8223	""
PM0-44575	676590	""	+	""	""
PM0-9963	189712	G0-8895 // EG10901 // EG11033	+	TU00345	""
PM0-44939	1517610	""	+	""	""
PM00429	3083946	EG10960		TU0-6625	""
PM0-45303	2381614	""	-	""	""
PM681	1230466	G6619		TU581	""
PM0-45668	3298923	""	-	""	""
PM0-10076	2114351	G7093		TU0-14346	""
PM0-46036	4437673	""	+	""	""
PM0-3281	2483448	EG13283 // G7233		TU0-3101	""
PM0-8464	1950617	EG10097		TU0-8084	""
PM0-44559	661510	""	-	""	""
PM0-9880	3322587	EG30050 // EG12095		TU0-14573	""
PM0-44923	1500640	""	-	""	""
PM00413	2599784	EG10658 // EG10205		TU00256	""
PM0-45287	2344218	""	-	""	""
PM601	1447367	G6706	-	TU501	""
PM0-45652	3267254	""	+	""	""
PM0-10059	1839440	G6952		TU0-13389	""
PM0-46020	4375703	""	-	""	""
PM0-2585	368528	EG10525 // G6201		TU0-2405	""
PM0-8186	174921	EG10432		TU0-7806	""
PM0-44543	610141	""	-	""	""
PM0-9853		EG11187		TU0-14555	""
PM0-44907	1487202	""	+	""	""
PM00387	1989502	EG11041		TU0-6631	""
PM0-45272	2280548	""	-	""	""
PM521	795062	EG12427 // EG10002 // EG10152		TU00301	""
PM0-45636	3252249	""	+	""	""
PM0-10042	1526228	G6765		TU0-13274	""
PM0-46004	4297134	""	-	""	""
PM0-2083	3374766	G7679		TU0-1902	""
PM0-7981	532390	G6275		TU0-7601	""
PM0-44527	570845	""	+	""	""
PM0-9834		G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990		TU0-14551	""
PM0-44891	1425264	""	+	""	""
PM00371	1688551	EG10566		TU0-6425	""
PM0-45257	2249666	""	+	""	""
PM439	771284	EG10174 // EG10173		TU358	""
PM0-45620	3226142	""	+	""	""
PM0-10024	1234916	EG10281		TU0-8794	""
PM0-45988	4260141	""	-	""	""
PM0-1781	3373620	EG10637 // G7675 // G7676 // G7677 // G436 // EG10637		TU0-42543 // TU0-1601	""
PM0-7681	3059353	EG11443		TU0-7341	""
PM0-44511	546506	""	+	""	""
PM0-9812		EG12608 // EG11557 // EG11558		TU0-14529	""
PM0-44875	1413260	""	-	""	""
PM00355	961859	EG10441 // EG10900		TU565	""
PM0-45242	2225066	""	-	""	""
PM338	34218	G6088		TU141	""
PM0-45604	3192054	""	+	""	""
PM0-10006	971672	G6473		TU0-13089	""
PM0-45972	4148429	""	-	""	""
PM0-15	3646112	EG10412		TU0-14	""
PM0-7322	1641715	""	-	""	""
PM0-44495	504847	""	-	""	""
PM0-9793		EG10131		TU0-14513	""
PM0-44859	1357810	""	-	""	""
PM00338	432245	EG11035		TU00449	""
PM0-45227	2184673	""	-	""	""
PM262	1335781	EG11325	+	TU794	""
PM0-45588	3168371	""	-	""	""
PM-8816	1728353	EG11548		TU-8430	""
PM0-45956	4086881	""	+	""	""
PM0-1343	3941516	EG30072 // EG30079 // EG30033 // EG30086		TU0-1183	""
PM0-6061	3664864	G0-8914		TU0-5761	""
PM0-44479	453686	""	-	""	""
PM0-9771		EG10706		TU0-13451	""
PM0-44843	1330757	""	-	""	""
PM00322	85453	EG10499 // EG10500		TU0-6861	""
PM0-45211	2115934	""	-	""	""
PM194	1339234	EG11331		TU0-1742	""
PM0-45572	3133982	""	+	""	""
PM-8783	1130993	G358 // G359 // G360 // G361 // G362 // G363 // G364 // G365 // G366	+	TU00273	""
PM0-45940	4060423	""	+	""	""
PM0-1162	1832013	G6940 // G6941 // G6942 // G6943 // G6944		TU0-1002	""
PM0-5442	52034	EG10048 // EG10047		TU0-5202	""
PM0-44463	392660	""	-	""	""
PM0-9755		G7191		TU0-13585	""
PM0-44827	1293493	""	+	""	""
PM00299	4466210	EG11402 // EG12127		TU00213	""
PM0-45195	2098413	""	-	""	""
PM169	997563	EG12358 // G6476 // G6477 // G6478 // G6479		TU0-6629	""
PM0-45556	3114479	""	-	""	""
PM-8764	1825688	G6939	-	TU-8381	""
PM0-45924	4018751	""	+	""	""
PM0-10544	2884319	G7430 // G7429 // G7428 // G7427 // G7426 // G7425 // EG12845	-	TU0-13725	""
PM0-5241	3866981	EG11535		TU0-5001	""
PM0-44448	327257	""	-	""	""
PM0-9728	4635243	EG10730 // EG11218 // EG11217		TU0-14475	""
PM0-44812	1245101	""	+	""	""
PM00278	354884	EG11327 // EG11326		TU00197	""
PM0-45179	2053534	""	+	""	""
PM1022	2255252	EG12030		TU862	""
PM0-45540	3089752	""	+	""	""
PM0-45908	3950027	""	-	""	""
PM0-10511	1848700	EG11014 // EG11134 // EG10943		TU00356	""
PM0-4942	366365	EG10524 // EG10526 // EG10527		TU0-4702	""
PM0-44433	318376	""	-	""	""
PM0-9710	142703	EG12319		TU0-8774	""
PM0-44796	1218937	""	+	""	""
PM00252	932328	EG10547		TU00181	""
PM0-45163	2024843	""	-	""	""
PM00664	1031719	EG30093		TU00509	""
PM0-45524	3015167	""	-	""	""
PM0-45892	3869314	""	+	""	""
PM0-4723	4313257	EG11827		TU0-4483	""
PM0-44418	293118	G6148		TU0-12871	""
PM0-9680	933138	G6464		TU0-14447	""
PM0-44780	1203088	""	-	""	""
PM00227	622234	EG10295 // EG10298 // EG10296		TU00165	""
PM0-45147	1979668	""	+	""	""
PM00648	1746415	EG30111 // EG30112		TU00493	""
PM0-45508	2988423	""	+	""	""
PM0-45876	3828919	""	+	""	""
PM0-46365	3246618	EG12739	+	TU0-42612	""
PM0-10448	4556576	G7923		TU0-14766	""
PM0-44402	260216	""	+	""	""
PM0-9626	75608	G0-9381		TU0-14425	""
PM00201	2477746	EG13161		TU00149	""
PM0-44767	1197625	""	-	""	""
PM0-45131	1941833	""	-	""	""
PM00632	3485951	EG11182		TU00478	""
PM0-45492	2971247	""	+	""	""
PM0-45860	3776597	""	+	""	""
PM0-46347	2840942	EG10085	+	TU0-42599	""
PM0-10409	1704512	G0-9561		TU0-13351	""
PM0-44386	217135	""	-	""	""
PM0-9597	1923066	G0-8865		TU0-8508	""
PM00177	1699313	EG10563 // EG10564		TU00132	""
PM0-44751	1168863	""	-	""	""
PM0-45115	1921745	""	+	""	""
PM00615	461819	G6242		TU0-6622	""
PM0-45479	2925369	""	-	""	""
PM0-45844	3737221	""	-	""	""
PM0-46329	2716506	EG11784	-	TU0-42577	""
PM0-10368	636686	G6331		TU0-12993	""
PM0-44370	162075	""	+	""	""
PM0-9570	331873	EG11236		TU0-14408	""
PM00155	2323412	EG11672 // EG11669 // EG11670 // EG11671		TU00114	""
PM0-44735	1126081	""	+	""	""
PM0-45099	1894100	""	-	""	""
PM00599	1958986	G0-16601	-	TU0-42592	""
PM0-45463	2871984	""	-	""	""
PM0-45828	3712097	""	-	""	""
PM0-10344	3994492	EG11202 // EG11069 // EG11201 // EG10209 // G0-10471		TU0-14042	""
PM0-46314	3334858	EG10656	+	TU0-13886	""
PM0-44355	131307	""	-	""	""
PM0-9547	179183	EG11090 // EG12334 // EG12333		TU0-12822	""
PM0-44719	1095633	""	+	""	""
PM00141	771170	EG10173 // EG10174		TU00100	""
PM0-45083	1875648	""	-	""	""
PM00582	3640000	EG11390		TU00433	""
PM0-45447	2775888	""	+	""	""
PM0-45812	3656110	""	-	""	""
PM0-10278	3194865	G0-8913		TU0-13845	""
PM0-46298	1447309	G6706	-	TU0-42548	""
PM0-44340	11825	""	-	""	""
PM0-9468	2033649	G0-10574		TU0-14332	""
PM0-44703	1051278	""	-	""	""
PM00117	3888411	EG11276 // EG11276 // EG11005 // EG11006	+	TU0-42514 // TU00085	""
PM0-45067	1833217	""	+	""	""
PM00565	3477499	G7716		TU0-1064	""
PM0-45431	2747930	""	+	""	""
PM0-45796	3611841	""	+	""	""
PM0-10244	1121509	G6558		TU0-13128	""
PM0-46215	1215506	G6603		TU0-42501	""
PM0-4421	3793939	EG11424 // EG11189 // EG12210 // EG10838		TU0-4181	""
PM0-9391		EG12227		TU0-13955	""
PM0-44687	1005850	""	+	""	""
PM00098	4273936	EG11061		TU00069	""
PM0-45051	1792760	""	-	""	""
PM0-44684	997814	""	+	""	""
PM00094	1323108	EG11274 // EG11024 // EG11025 // EG11026 // EG11027 // EG11028 // EG11274		TU0-42510 // TU00067	""
PM0-45048	1787351	""	+	""	""
PM00546	3707870	EG12628 // EG12627 // EG12626 // EG12625 // EG10248		TU00262	""
PM0-45412	2712805	""	-	""	""
PM0-45777	3586729	""	+	""	""
PM0-10206	256502	EG11091		TU0-12857	""
PM0-46176	1405751	G0-8899		TU0-8839	""
PM0-3823	1563107	G6777 // G6778 // G6779 // G6780 // G6781 // G6782		TU0-3623	""
PM0-9329	1788384	EG10080		TU0-14254	""
PM0-44668	947127	""	+	""	""
PM00067	4158457	EG10681		TU00051	""
PM0-45032	1747082	""	+	""	""
PM00530	1063833	EG12194 // EG12193		TU00387	""
PM0-45396	2647368	""	-	""	""
PM0-45761	3536744	""	+	""	""
PM0-10185	4372761	G7834		TU0-14141	""
PM0-46139	2819373	EG11447		TU0-42456	""
PM0-36255	3544858	EG10122		TU0-8772	""
PM0-9248	850419	EG12117		TU0-8812	""
PM0-44652	897852	""	+	""	""
PM00046	4257087	EG10533 // EG11491		TU00037	""
PM0-45016	1719673	""	-	""	""
PM00514	4166367	EG30071 // EG30078 // EG30032 // EG30085	+	TU0-1182	""
PM0-45380	2582880	""	-	""	""
PM0-45745	3511617	""	-	""	""
PM0-10166	4031147	EG11485 // EG11021 // EG11484 // EG10698		TU0-14056	""
PM0-46113	4633773	""	-	""	""
PM0-36240	1669672	G6854		TU0-13341	""
PM0-8915	583567	EG10050		TU0-8479	""
PM0-44635	852626	""	-	""	""
PM00028	3410246	EG11311 // EG10317		TU00021	""
PM0-45000	1669630	""	+	""	""
PM00497	4179623	EG10871 // EG10873 // EG10894 // EG10895		TU00335	""
PM0-45364	2527039	""	-	""	""
PM0-45729	3438673	G0-10465		TU0-13910	""
PM0-10146	3645350	EG12234		TU0-13958	""
PM0-46097	4594837	""	-	""	""
PM0-36226	399454	G6229		TU0-8554	""
PM0-8849	2839287	""	-	""	""
PM0-4462	196470	EG12436		TU0-4222	""
PM00009	3384677	EG10070		TU00007	""
PM0-44984	1638299	""	-	""	""
PM00480	3965687	EG11031		TU0-3103	""
PM0-45348	2492130	""	-	""	""
PM0-45713	3403425	""	-	""	""
PM0-10127	3221437	EG10254		TU0-13850	""
PM0-46081	4559537	""	-	""	""
PM0-36202	3471583	EG11036		TU0-36426	""
PM0-8737	518490	G6268		TU0-8356	""
PM0-44605	777537	""	+	""	""
PM0-9992	660301	EG11306	-	TU0-13004	""
PM0-44968	1614799	""	-	""	""
PM00463	3882590	EG10828 // EG10242		TU0-1194	""
PM0-45332	2448568	""	+	""	""
PM964	4394035	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758		TU802	""
PM0-45697	3380156	""	-	""	""
PM0-10110	2867654	EG10510		TU0-14651	""
PM0-46065	4504005	""	+	""	""
PM0-36158	3333516	G7656 // EG11499 // EG50002 // EG50001 // EG50002 // EG50001	-	TU0-42628 // TU00338	""
PM0-8704	1277821	EG10642		TU0-8324	""
PM0-44588	712846	""	-	""	""
PM0-9976	408148	EG12159		TU0-12915	""
PM0-44952	1544763	""	-	""	""
PM00444	3453442	EG10916 // EG10887 // EG10877 // EG10902 // EG10882 // EG10918 // EG10865 // EG10883 // EG10867 // EG10866 // EG10909		TU00347	""
PM0-45316	2388573	""	+	""	""
PM821	890776	EG10417		TU721	""
PM0-45681	3334855	""	+	""	""
PM0-10091	2532344	EG10192		TU0-14642	""
PM0-46049	4474783	""	+	""	""
PM0-3564	4166484	EG30071 // EG30078 // EG30032 // EG30085		TU0-3364	""
PM0-8582	3068126	EG11244		TU0-8202	""
PM0-44572	676624	""	-	""	""
PM0-9960	131564	EG12316		TU0-14608	""
PM0-44936	1517221	""	+	""	""
PM00426	2909797	EG10258 // EG10810		TU0-6428	""
PM0-45300	2365698	""	-	""	""
PM664	961717	EG10441 // EG10900		TU564	""
PM0-45665	3298174	""	-	""	""
PM0-10073	2081325	EG11892		TU0-13487	""
PM0-46033	4433131	""	-	""	""
PM0-2921	2552241	EG12189 // EG11823		TU0-2741	""
PM0-8424		EG12162		TU0-8044	""
PM0-44556	658871	""	+	""	""
PM0-9874	807321	EG12875		TU0-13045	""
PM0-44920	1496682	""	+	""	""
PM00410	2533601	EG10788 // EG10789 // EG10165		TU00482	""
PM0-45284	2320081	""	-	""	""
PM589	461332	EG10467		TU489	""
PM0-45649	3267226	""	+	""	""
PM0-10056	1779328	G6919		TU0-8710	""
PM0-46017	4356507	""	-	""	""
PM0-2522	3058549	EG10944		TU0-2342	""
PM0-8183	1719748	G6881		TU0-7803	""
PM0-44540	607561	""	-	""	""
PM0-9850		G7912 // G7911 // G7910		TU0-14192	""
PM0-44904	1482873	""	-	""	""
PM00384	1933109	EG10256		TU25	""
PM0-4527	57336	EG10691 // EG10985 // EG11569		TU0-4287	""
PM504	3561480	EG10400 // EG10397		TU402	""
PM0-45633	3250472	""	+	""	""
PM0-10039	1492439	EG11018		TU0-14627	""
PM0-46001	4294268	""	+	""	""
PM0-2021	2349499	EG11422		TU0-1841	""
PM0-7941	2483641	EG11610 // EG11609		TU0-7561	""
PM0-44524	568810	""	+	""	""
PM0-9831	4399801	EG10435 // EG10436 // EG10437 // EG10438		TU0-14548	""
PM0-44888	1423749	""	+	""	""
PM00368	1319944	EG11024 // EG11025 // EG11026		TU3	""
PM0-45254	2249711	""	-	""	""
PM421	3600813	EG10897		TU221	""
PM0-45617	3216536	""	-	""	""
PM0-10021	1212090	G6600		TU0-13156	""
PM0-45985	4230162	""	+	""	""
PM0-1728	1972716	EG10151 // EG10150 // EG10147 // EG10148 // EG10987 // EG10988		TU0-1547	""
PM0-7561	348471	G6195		TU0-7221	""
PM0-44508	531358	""	-	""	""
PM0-9808		EG11423 // EG11426		TU0-14525	""
PM0-44872	1405936	""	+	""	""
PM00352	848198	EG10389 // EG10388 // EG10386		TU0-6649	""
PM0-4524	57156	EG11569		TU0-4284	""
PM334	1388844	G6660	-	TU544	""
PM0-45601	3184831	""	+	""	""
PM0-10002	919103	G6460		TU0-8513	""
PM0-45969	4143880	""	+	""	""
PM0-1422	4448428	EG12096 // EG11250		TU0-1261	""
PM0-7183	4539928	G7919 // G7920 // G7921 // G7920 // G7921		TU0-42544 // TU0-6843	""
PM0-44492	490857	""	+	""	""
PM0-9790		EG30075		TU0-14510	""
PM0-44856	1351866	""	-	""	""
PM00335	367538	EG10525		TU0-6508	""
PM0-45224	2168683	""	+	""	""
PM241	4542694	EG10311 // EG10315 // EG10314 // EG10313 // EG10310 // EG11974 // EG10308		TU182	""
PM0-45585	3166030	""	-	""	""
PM-8809	1074134	EG12301		TU-8423	""
PM0-45953	4079562	""	+	""	""
PM0-1303	2716523	EG11784	-	TU0-1143	""
PM0-5862	4252443	EG11369 // EG11370		TU00369	""
PM0-44476	433034	""	-	""	""
PM0-9768	1475066	EG11310		TU0-13249	""
PM0-44840	1317241	""	-	""	""
PM00319	30775	EG10135		TU0-6884	""
PM0-45208	2109586	""	-	""	""
PM183	1821726	EG12198 // EG10144 // EG10143 // EG10142 // EG10141 // EG10140		TU00248	""
PM0-45569	3134084	""	+	""	""
PM-8780	3328853	EG10415		TU-8397	""
PM0-45937	4060372	""	+	""	""
PM0-1123	4455728	EG12440		TU0-963	""
PM0-5423	2436890	EG10216 // EG10454 // EG11059		TU0-5183	""
PM0-44460	384738	""	-	""	""
PM0-9750		EG11019		TU0-13908	""
PM0-44824	1288756	""	-	""	""
PM00296	102867	EG10342 // EG10339 // EG10347		TU00210	""
PM0-45192	2089211	""	-	""	""
PM166	3128076	G7542 // EG20080 // G7543 // G0-8601 // G7544 // G7545		TU0-1962	""
PM0-45553	3111211	""	-	""	""
PM0-45921	4009023	""	+	""	""
PM0-10541	2765894	G7366 // G7365		TU0-14327	""
PM0-5168	3546446	EG12380		TU0-4928	""
PM0-44445	321481	""	+	""	""
PM0-9725	1340135	EG12691 // G6637 // EG11128 // EG10809 // EG12691 // G6637	+	TU0-13200 // TU0-14472	""
PM0-44809	1244579	""	+	""	""
PM00273	2710357	EG10631		TU00194	""
PM0-45176	2042294	""	+	""	""
PM1001	2231819	EG10137		TU841	""
PM0-45537	3086250	""	-	""	""
PM0-45905	3946780	""	+	""	""
PM0-10505	1622588	G0-8892		TU0-13307	""
PM0-4921	4494597	EG12152		TU0-4681	""
PM0-44430	311432	""	-	""	""
PM0-9707	701865	EG10636		TU0-14463	""
PM0-44793	1215613	""	-	""	""
PM00249	148	EG11277 // EG11277 // EG10998 // EG10999 // EG11000		TU0-42486 // TU00178	""
PM0-45160	1997823	""	-	""	""
PM00661	4496386	EG30053		TU00506	""
PM0-45521	3009919	""	+	""	""
PM0-45889	3855790	""	-	""	""
PM0-4701		EG12522		TU0-4461	""
PM0-10470	2280622	EG12045		TU0-13556	""
PM0-44415	285353	""	+	""	""
PM0-9672	90010	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085		TU0-14439	""
PM0-44777	1202184	""	-	""	""
PM00222	1787161	EG10759		TU00162	""
PM0-45144	1973462	""	-	""	""
PM00645	262841	EG30104		TU00490	""
PM0-45505	2988344	""	+	""	""
PM0-45873	3821256	""	-	""	""
PM0-46361	4416869	G7852	-	TU0-14156	""
PM0-10443	2872901	""	-	""	""
PM0-44399	246641	""	+	""	""
PM0-9623	2700291	G0-10634	-	TU0-14422	""
PM00198	2876368	EG10185 // EG10194 // EG10186		TU00146	""
PM0-44764	1188270	""	-	""	""
PM0-45128	1936590	""	+	""	""
PM00629	2430800	EG11044 // EG10794 // EG10169		TU00475	""
PM0-45489	2969582	""	+	""	""
PM0-45857	3768064	""	+	""	""
PM0-46344	3784203	EG10937 // EG20091	-	TU0-13995	""
PM0-10404		EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757		TU0-14759	""
PM0-44383	211858	""	+	""	""
PM0-9593	2498399	G7242		TU0-13612	""
PM00173	3105651	EG10664		TU00129	""
PM0-44748	1161823	""	+	""	""
PM0-45112	1915027	""	-	""	""
PM00612	3597730	EG10536 // EG10537 // EG10541 // EG10538 // EG10540		TU00457	""
PM0-45476	2910860	""	-	""	""
PM0-45841	3727797	""	-	""	""
PM0-10365	3522928	G7739 // G7738 // G7737 // G7736		TU0-13927	""
PM0-44367	157055	""	-	""	""
PM0-9567	2838014	EG11551		TU0-14406	""
PM00152	3490221	EG10066		TU00111	""
PM0-44732	1119623	""	-	""	""
PM0-45096	1893321	""	+	""	""
PM00596	923210	EG10156		TU00447	""
PM0-45460	2863537	""	+	""	""
PM0-45825	3696395	""	+	""	""
PM0-10338	2308641	EG12070		TU0-13560	""
PM0-46311	3172323	G7577	-	TU0-8758	""
PM0-44352	79594	""	-	""	""
PM0-9540	3401356	EG10608 // EG10610 // EG10609 // EG10608		TU0-14390 // TU0-14387	""
PM0-44716	1095196	""	-	""	""
PM00138	1037710	G0-10588 // EG11380 // EG11379 // EG10049		TU00097	""
PM0-45080	1870364	""	+	""	""
PM00579	1862526	EG10367		TU0-4907	""
PM0-45444	2767644	""	+	""	""
PM0-45809	3637500	""	-	""	""
PM0-10275	2545733	G7264 // G7263		TU0-14714	""
PM0-46279	1511599	G6755 // G6754 // G6753 // G6752 // G6751		TU0-42535	""
PM0-44337	11542	""	-	""	""
PM0-9420	3340211	EG11680 // G7665 // G7664 // G7663 // G7662 // EG12802 // G7662 // EG12802		TU0-36430 // TU0-14290	""
PM0-44700	1049834	""	-	""	""
PM00113	553142	EG10796 // EG10793		TU00082	""
PM0-45064	1817312	""	-	""	""
PM00562	3327760	EG11506 // EG11507		TU00277	""
PM0-45428	2741702	""	+	""	""
PM0-45793	3609780	""	+	""	""
PM0-10241	3816645	EG11192		TU0-14001	""
PM0-46203	3336833	EG11358 // G7657		TU0-42495	""
PM0-4383	1109257	EG11886 // EG11885		TU0-4143	""
PM0-9377	1995717	EG12861		TU0-8716	""
PM0-9374	2862197	G7418		TU0-14275	""
PM0-44681	994141	""	-	""	""
PM00089	4100759	EG10953		TU00064	""
PM0-45045	1772409	""	+	""	""
PM00543	1822283	EG10044		TU00398	""
PM0-45409	2701137	""	-	""	""
PM0-45774	3584734	""	+	""	""
PM0-10203	903843	EG11627 // EG11626 // EG11625 // EG11624		TU0-14678	""
PM0-46171	4223505	EG10587		TU0-42471	""
PM0-3802	348646	G6200 // G6199 // G6198 // G6196		TU0-3602	""
PM0-9326	454994	""	+	""	""
PM0-44665	945839	""	+	""	""
PM00064	1020191	EG10669		TU00048	""
PM0-45029	1743269	""	+	""	""
PM00527	454434	EG10125		TU00386	""
PM0-45393	2642934	""	-	""	""
PM0-45758	3532485	""	-	""	""
PM0-10182	4370783	EG10599		TU0-14672	""
PM0-46129	2622977	EG11403 // EG11510		TU0-42452	""
PM0-36252	3298897	G7646		TU0-13876	""
PM0-9198	2976385	G0-8882		TU0-8762	""
PM0-44649	889938	""	-	""	""
PM00043	4133812	EG10511		TU00034	""
PM0-45013	1704864	""	+	""	""
PM00511	458815	EG10542		TU0-4931	""
PM0-45377	2563409	""	+	""	""
PM0-45742	3499770	""	+	""	""
PM0-10162	4004724	EG11467		TU0-14045	""
PM0-46110	4624238	""	-	""	""
PM0-36238	1495134	G6737		TU0-8700	""
PM0-8909	1712671	G6877		TU0-8473	""
PM0-44632	845509	""	-	""	""
PM00025	4617278	EG10221 // EG10219 // EG10220 // EG10222		TU00018	""
PM0-44997	1667240	""	-	""	""
PM00493	4163295	EG11022		TU00430	""
PM0-45361	2518384	""	+	""	""
PM0-45726	3430062	""	-	""	""
PM0-10143	3484311	EG12365		TU0-13920	""
PM0-46094	4591347	""	-	""	""
PM0-36223	146745	EG11747		TU0-8486	""
PM0-8843	1705207	EG10662 // G6876 // G6875 // G6874 // G6873 // G6872 // G6871 // G6870		TU0-8456	""
PM0-44617	800709	""	-	""	""
PM00006	4154897	EG11286		TU00226	""
PM0-44981	1634956	""	-	""	""
PM00477	3955235	EG10493		TU0-6651	""
PM0-45345	2473536	""	+	""	""
PM0-45710	3392075	""	-	""	""
PM0-10124	3153529	EG11824		TU0-13822	""
PM0-46078	4524226	""	-	""	""
PM0-36193	3948021	EG11449		TU0-8808	""
PM0-8734	1442915	G592	-	TU0-8353	""
PM0-44602	774709	""	+	""	""
PM0-9989	629292	EG11105		TU0-14617	""
PM0-44965	1609182	""	-	""	""
PM00459	3881861	EG10828		TU0-3302	""
PM0-45329	2434940	""	-	""	""
PM961	931031	EG10012 // EG11405		TU00254	""
PM0-45694	3374703	""	-	""	""
PM0-10106	2819273	EG11447		TU0-13716	""
PM0-46062	4501058	""	+	""	""
PM0-36155	1315396	EG11125		TU0-36411	""
PM0-8661	1125522	EG10851		TU0-8281	""
PM0-44585	689212	""	-	""	""
PM0-9973	396319	EG12867		TU0-14612	""
PM0-44949	1544825	""	-	""	""
PM00441	3327731	EG11506 // EG11507		TU00414	""
PM0-45313	2385805	""	+	""	""
PM761	4046940	EG10746		TU661	""
PM0-45678	3328857	""	+	""	""
PM0-10087	2465135	G7216		TU0-8537	""
PM0-46046	4458046	""	-	""	""
PM0-3485	1800818	EG10881 // EG11231 // EG10506		TU0-3305	""
PM0-8561	1806323	EG10700		TU0-8181	""
PM0-44569	676706	""	-	""	""
PM0-9956	8191	EG11556		TU0-8121	""
PM0-44933	1515415	""	+	""	""
PM00423	2804755	EG10773 // EG10772 // EG10771	+	TU702	""
PM0-45297	2364525	""	+	""	""
PM65	2061978	G7072		TU65	""
PM0-45662	3293393	""	-	""	""
PM0-10069	1999508	G7038 // G7037 // EG12347	-	TU0-13453	""
PM0-46030	4427526	""	-	""	""
PM0-2829	1544124	EG12153		TU0-2649	""
PM0-8361	1250944	EG12399 // G6626 // G6627		TU0-7981	""
PM0-44553	646603	""	-	""	""
PM0-9870		EG10435 // EG10436 // EG10437 // EG10438		TU0-14567	""
PM0-44917	1495133	""	+	""	""
PM00406	2437912	EG10229		TU0-5184	""
PM0-45281	2306858	""	-	""	""
PM586	4200176	EG10466		TU486	""
PM0-45646	3254269	""	+	""	""
PM0-10053	1724679	G6886		TU0-13356	""
PM0-46014	4356462	""	-	""	""
PM0-2301	891876	G6447 // EG10852		TU0-2121	""
PM0-8163	578921	G6312		TU0-7783	""
PM0-44537	606411	""	-	""	""
PM0-9846		EG12196		TU0-13113	""
PM0-44901	1474188	""	+	""	""
PM00381	1912618	EG10462		TU00400	""
PM0-45267	2267742	""	+	""	""
PM501	2524910	EG13159 // G85		TU301	""
PM0-45630	3238371	""	+	""	""
PM0-10036	1398659	EG11246		TU0-13221	""
PM0-45998	4283106	""	-	""	""
PM0-1986	1368040	EG12344		TU0-1805	""
PM0-7881	4160802	EG11428		TU0-7521	""
PM0-44521	564607	""	-	""	""
PM0-9828	1584028	G6789 // G6790		TU0-14545	""
PM0-44885	1420343	""	+	""	""
PM00365	1247425	EG11017		TU00396	""
PM0-45251	2237923	""	-	""	""
PM404	3378672	EG10908 // EG10874		TU00336	""
